序号,日期,价格,涨跌
10,2005-7-18,11953,12
11,2005-7-15,11941,33
12,2005-7-14,11908,12
13,2005-7-13,11896,28
14,2005-7-12,11868,0
1,2005-8-19,11975,0
2,2005-8-18,11975,0
3,2005-8-17,11975,0
4,2005-8-16,11975,-5
5,2005-8-15,11980,-17
6,2005-8-12,11997,0
7,2005-8-11,11997,0
8,2005-8-10,11997,-2
9,2005-8-9,11999,0
10,2005-8-8,11999,0
11,2005-8-5,11999,0
12,2005-8-4,11999,0
13,2005-8-3,11999,0
14,2005-8-2,11999,3
15,2005-8-1,11996,0
1,2005-9-9,11957,0
2,2005-9-8,11957,0
3,2005-9-7,11957,0
4,2005-9-6,11957,1
5,2005-9-5,11956,1
6,2005-9-2,11955,-8
7,2005-9-1,11963,-9
8,2005-8-31,11972,0
9,2005-8-30,11972,-1
10,2005-8-29,11973,-2
11,2005-8-26,11975,0
12,2005-8-25,11975,0
13,2005-8-24,11975,0
14,2005-8-23,11975,0
15,2005-8-22,11975,0
1,2005-9-29,12082,77
2,2005-9-28,12005,39
3,2005-9-27,11966,1
4,2005-9-26,11965,0
5,2005-9-23,11965,6
6,2005-9-22,11959,2
7,2005-9-21,11957,0
8,2005-9-20,11957,0
9,2005-9-19,11957,0
10,2005-9-16,11957,0
11,2005-9-15,11957,0
12,2005-9-14,11957,0
13,2005-9-13,11957,0
14,2005-9-12,11957,0
1,2005-11-28,12658,-1
2,2005-11-25,12659,0
3,2005-11-24,12659,0
4,2005-11-23,12659,0
5,2005-11-22,12659,0
6,2005-11-21,12659,2
7,2005-11-18,12657,5
8,2005-11-17,12652,0
9,2005-11-16,12652,0
10,2005-11-15,12652,0
11,2005-11-14,12652,0
12,2005-11-11,12652,0
13,2005-11-10,12652,0
14,2005-11-9,12652,0
1,2006-1-6,12671,2
2,2006-1-5,12669,0
3,2006-1-4,12669,6
4,2005-12-31,12663,2
5,2005-12-30,12661,0
6,2005-12-29,12661,0
7,2005-12-28,12661,8
8,2005-12-27,12653,12
9,2005-12-26,12641,2
10,2005-12-23,12639,0
11,2005-12-22,12639,2
12,2005-12-21,12637,0
13,2005-12-20,12637,-2
14,2005-12-19,12639,1
1,2006-1-27,12858,0
2,2006-1-26,12858,0
3,2006-1-25,12858,0
4,2006-1-24,12858,0
5,2006-1-23,12858,0
6,2006-1-20,12858,0
7,2006-1-19,12858,0
8,2006-1-18,12858,0
9,2006-1-17,12858,10
10,2006-1-16,12848,8
11,2006-1-13,12840,20
12,2006-1-12,12820,0
13,2006-1-11,12820,21
14,2006-1-10,12799,75
15,2006-1-9,12724,53
1,2006-2-16,12960,5
2,2006-2-15,12955,16
3,2006-2-14,12939,11
4,2006-2-13,12928,0
5,2006-2-10,12928,0
6,2006-2-9,12928,10
7,2006-2-8,12918,16
8,2006-2-7,12902,29
9,2006-2-6,12873,10
10,2006-2-5,12863,5
11,2006-2-5,12863,5
1,2006-3-8,12860,-15
2,2006-3-7,12875,-42
3,2006-3-6,12917,-11
4,2006-3-3,12928,-9
5,2006-3-2,12937,-26
6,2006-3-1,12963,-26
7,2006-2-28,12989,-2
8,2006-2-27,12991,2
9,2006-2-24,12989,0
10,2006-2-23,12989,3
11,2006-2-22,12986,0
12,2006-2-21,12986,11
13,2006-2-20,12975,0
14,2006-2-17,12975,15
1,2006-3-28,12790,0
2,2006-3-27,12790,0
3,2006-3-24,12790,0
4,2006-3-23,12790,-28
5,2006-3-22,12818,-20
6,2006-3-21,12838,0
7,2006-3-20,12840,-2
8,2006-3-20,12838,0
9,2006-3-17,12838,0
10,2006-3-16,12838,-2
11,2006-3-15,12840,0
12,2006-3-14,12840,0
13,2006-3-10,12842,-10
